entity_id,business_id,confidence_score
39453,90137,1.0
37322,92780,1.0
87957,81347,1.0
53413,25080,1.0
84280,28290,1.0
15702,39766,1.0
51532,41419,1.0
24455,48643,1.0
24455,48823,1.0
10787,51679,1.0
88769,54161,1.0
87880,54427,1.0
93830,60784,1.0
93830,60786,1.0
67094,62908,1.0
52197,66063,1.0
53653,72331,1.0
58685,72495,1.0
31897,72855,1.0
34321,76253,1.0
19421,82915,1.0
77311,79269,1.0
39966,46539,1.0
90005,54,1.0
90005,161,1.0
89462,16706,1.0
16784,17900,1.0
74113,16562,1.0
74113,16563,1.0
56237,22452,1.0
56237,22454,1.0
48009,98183,1.0
45439,76884,1.0
88447,201,1.0
88134,7397,1.0
70158,79292,1.0
10142,1514,1.0
9706,3454,1.0
26774,25781,1.0
2846,74641,1.0
2846,74644,1.0
9558,77670,1.0
88157,57253,1.0
22273,54446,1.0
92458,55595,1.0
85422,17708,1.0
9952,992,1.0
8626,73815,1.0
49076,379,1.0
63720,32912,1.0
48454,20965,1.0
27074,69086,1.0
20341,75273,1.0
15000,475,1.0
15000,600,1.0
66290,70153,1.0
66290,70154,1.0
59241,82463,1.0
59241,82503,1.0
26323,79060,1.0
43599,35484,1.0
43599,35533,1.0
49277,84039,1.0
84089,89576,1.0
14456,34200,1.0
54084,70640,1.0
19500,57342,1.0
53802,6547,1.0
79843,646,1.0
79843,872,1.0
68059,42407,1.0
41978,64458,1.0
8336,67093,1.0
9300,691,1.0
40049,93753,1.0
40049,94816,1.0
42425,78454,1.0
42425,78455,1.0
26164,42123,1.0
394,79492,1.0
64767,780,1.0
93810,91870,1.0
93810,92484,1.0
6021,59355,1.0
81939,85837,1.0
47221,19185,1.0
37491,50104,1.0
87106,15873,1.0
91378,13855,1.0
88306,73599,1.0
88306,73617,1.0
89569,51609,1.0
58346,61049,1.0
58346,61291,1.0
63116,89650,1.0
48944,69567,1.0
48944,73866,1.0
19759,47876,1.0
48651,82679,1.0
47008,97320,1.0
14727,63175,1.0
14727,64131,1.0
37175,10354,1.0
59578,94859,1.0
89597,97967,1.0
21502,83576,1.0
84852,68380,1.0
87382,73090,1.0
50612,18758,1.0
82225,1238,1.0
31668,1250,1.0
73207,91627,1.0
48145,59507,1.0
48145,59509,1.0
68752,70079,1.0
76760,46402,1.0
76760,46403,1.0
36417,63330,1.0
36417,70926,1.0
6808,26203,1.0
77434,71909,1.0
43749,56138,1.0
43749,56484,1.0
18056,67714,1.0
91435,2687,1.0
91435,2688,1.0
18192,59820,1.0
86663,4098,1.0
42364,30421,1.0
42364,30758,1.0
21006,42980,1.0
92320,69118,1.0
56203,73682,1.0
51060,1993,1.0
60205,91404,1.0
40688,7453,1.0
74360,34435,1.0
37044,84312,1.0
11279,71316,1.0
11279,71953,1.0
72601,23479,1.0
20193,55956,1.0
20022,55721,1.0
89063,68137,1.0
46369,86031,1.0
70734,33478,1.0
16838,67529,1.0
16838,67549,1.0
44300,40249,1.0
31178,9841,1.0
31178,9940,1.0
3611,60591,1.0
90702,91025,1.0
4201,80530,1.0
22536,30620,1.0
45570,54499,1.0
71301,83029,1.0
66709,35936,1.0
41019,56738,1.0
41207,7173,1.0
41207,7182,1.0
70112,41366,1.0
67398,55382,1.0
72271,40984,1.0
70900,53615,1.0
73230,86452,1.0
73230,86453,1.0
57807,2554,1.0
83795,56421,1.0
64014,71296,1.0
54597,66177,1.0
54597,70544,1.0
53860,4679,1.0
79998,58800,1.0
92628,61401,1.0
92628,61771,1.0
67914,56375,1.0
60204,61269,1.0
59097,53358,1.0
66500,58664,1.0
56431,28240,1.0
18826,82798,1.0
45974,97728,1.0
46392,51681,1.0
88834,90622,1.0
79971,9532,1.0
17891,80408,1.0
53098,56517,1.0
22123,25598,1.0
15893,64960,1.0
15893,66060,1.0
31725,59524,1.0
31725,60220,1.0
83096,3166,1.0
70109,3239,1.0
48983,75645,1.0
89887,75786,1.0
89887,84234,1.0
84799,74796,1.0
43259,86175,1.0
43259,86179,1.0
84797,85221,1.0
84797,85744,1.0
49726,36935,1.0
42995,3661,1.0
1578,94364,1.0
84335,3698,1.0
18868,85675,1.0
20427,70864,1.0
56085,98315,1.0
45364,7463,1.0
49888,11963,1.0
72850,54597,1.0
23882,4057,1.0
51034,83248,1.0
35674,64641,1.0
35674,68920,1.0
60990,65107,1.0
75606,4212,1.0
75606,4267,1.0
12168,14835,1.0
19288,29088,1.0
19288,29179,1.0
4384,35381,1.0
26988,27319,1.0
58127,64997,1.0
9409,67234,1.0
34908,95953,1.0
34908,96876,1.0
29170,63755,1.0
15346,82428,1.0
35578,69751,1.0
93796,70680,1.0
33917,36440,1.0
40088,29924,1.0
6504,97843,1.0
65494,16502,1.0
40084,52871,1.0
28522,91227,1.0
47838,38884,1.0
80398,55510,1.0
81782,5259,1.0
81782,5802,1.0
21055,66070,1.0
85335,70753,1.0
73468,54811,1.0
32130,91503,1.0
38935,24246,1.0
19473,28750,1.0
19473,29087,1.0
38023,65834,1.0
38023,66588,1.0
75714,84906,1.0
63564,86512,1.0
52422,55592,1.0
9088,9482,1.0
84174,82175,1.0
25326,66850,1.0
75616,93655,1.0
56708,30416,1.0
37643,55043,1.0
41183,6221,1.0
2820,7059,1.0
57701,59088,1.0
31750,64874,1.0
31750,64880,1.0
81392,73301,1.0
26338,62453,1.0
27042,83726,1.0
70871,94688,1.0
50654,46212,1.0
22833,10956,1.0
